work_id,title,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits
18757756,Ready for some grub?,General Audiences,,"Star Wars - All Media Types, Star Wars: Rebels","Alexsandr Kallus & Garazeb ""Zeb"" Orrelios","Alexsandr Kallus, Garazeb ""Zeb"" Orrelios","Just Friends, Fuzzy for Rebels, Fuzzy for Zeb, Don't copy to another site",English,2019-05-08,Completed,2019-05-08,503,1/1,2,18,2,206
14104029,Ezras first scars,General Audiences,Gen,Star Wars: Rebels,,"Ezra Bridger, Sabine Wren, Kanan Jarrus, Hera Syndulla, Garazeb ""Zeb"" Orrelios, Chopper (Star Wars)","Parental Hera Syndulla, Mild Hurt/Comfort, Hurt Ezra Bridger",English,2018-03-26,Updated,2018-03-30,1816,3/?,4,18,2,672
8810719,Femslash Ficlets,Teen And Up Audiences,"F/F, Multi","Star Wars - All Media Types, Rogue One: A Star Wars Story (2016), Star Wars: Rebels, Star Wars Legends - All Media Types","Jyn Erso/Rivoche Tarkin, Hera Syndulla/Maketh Tua","Jyn Erso, Rivoche Tarkin, Cassian Andor, Hera Syndulla, Maketh Tua, Garazeb ""Zeb"" Orrelios, The Ghost Crew (Star Wars), R2-R5","Canon Era, Mixing Legends into canon, star wars femslash, Tua Lives AU, No Rogue One spoilers, Two Moms Pregnancy Fluff, lactation mention, Pregnancy Kink, (lightly) - Freeform",English,2016-12-10,Updated,2017-04-02,1762,3/?,null,18,null,535
10040465,By the light of Ryloth's moons,Teen And Up Audiences,F/F,"Star Wars - All Media Types, Star Wars: Rebels",Ahsoka Tano/Numa,"Ahsoka Tano, Numa (The Clone Wars)","Rebels, Season/Series 02, Alliances, Ryloth | Twi'lek, Freedom Fighters, Ficlet, Canon Era, Femslash, Femslash February, Romantic Fluff, Fade to Black, POV Female Character, Blanket Permission, Podfic Welcome",English,2017-03-17,Completed,2017-03-17,1184,1/1,2,18,1,321
14996552,A Noble Endeavor,General Audiences,Gen,"Star Wars - All Media Types, Star Wars Original Trilogy, Star Wars: Rebels",Wedge Antilles & Ackbar (Star Wars),"Wedge Antilles, Ackbar (Star Wars)","Languages and Linguistics, Languages, Friendship, Developing Friendships, Community: fan_flashworks",English,2018-06-21,Completed,2018-06-21,543,1/1,1,18,3,118
13832415,weird kind of date,Teen And Up Audiences,F/F,"Star Wars: Rebels, Star Wars: Rebellion Era - All Media Types, Star Wars: Princess of Alderaan - Claudia Gray, Star Wars - All Media Types",Amilyn Holdo/Sabine Wren,"Sabine Wren, Amilyn Holdo","Femslash February, Femslash February 2018, POV Female Character, Bechdel Test Pass, Undercover, Dresses, Ball gowns, Femslash, Rarepair",English,2018-02-28,Completed,2018-02-28,1292,1/1,3,18,null,219
7057354,Nothing Has Changed,General Audiences,F/M,Star Wars: Rebels,Kanan Jarrus & Hera Syndulla,"Hera Syndulla, Kanan Jarrus","Hurt/Comfort, Fluff, blind!kanan, Post-Episode: s02e19-20 Twilight of the Apprentice",English,2016-06-10,Completed,2016-06-10,766,1/1,3,18,3,384
12696537,Hold on and Survive,General Audiences,Other,Star Wars: Rebels,Space Family (Star Wars Rebels),Hera Syndulla,,English,2017-11-12,Completed,2017-11-12,447,1/1,null,18,1,255
14536533,Fly Again,General Audiences,F/M,Star Wars: Rebels,Ezra Bridger/Sabine Wren,"Ezra Bridger, Sabine Wren, C1-12L | Kitty","Dorks in Love, Astromechs, Old Bases, scavenging, making new friends, Ezra is a sweetheart",English,2018-05-04,Completed,2018-05-04,1181,1/1,2,18,null,622
15641673,Home and Honor,General Audiences,F/F,Star Wars: Rebels,Ketsu Onyo/Sabine Wren,"Ketsu Onyo, Sabine Wren","POV Female Character, POV Character of Color, Bechdel Test Pass, Femslash Big Bang Monthly Challenge, Femslash Big Bang, Femslash, Angst, Emotional Hurt/Comfort, Fluff and Angst, Nar Shaddaa, Mandalorian Culture, Alien Cultural Differences, Discussions about Honor, Worldbuilding, Cultural Differences",English,2018-08-10,Completed,2018-08-10,7029,1/1,2,18,1,323
21576892,Fall in to the Darkside,Teen And Up Audiences,,Star Wars: Rebels,"Ezra Bridger & Sabine Wren, Ezra Bridger & Garazeb ""Zeb"" Orrelios, Kanan Jarrus/Hera Syndulla, Alexsandr Kallus & Garazeb ""Zeb"" Orrelios, Ketsu Onyo & Sabine Wren","Ezra Bridger, Sabine Wren, Garazeb ""Zeb"" Orrelios, Alexsandr Kallus, Kanan Jarrus, Hera Syndulla, C1-10P | Chopper, Inquisitor(s) (Star Wars), Grand Inquisitor (Star Wars), Ahsoka Tano, Ketsu Onyo","Time Travel, Lightsaber Battles, Lightsabers, um.., How Do I Tag, Swearing, they are teens what do you expect, sabine and ezra are sent back in time, Space Dad Kanan Jarrus, Parental Kanan Jarrus, Space Mom Hera Syndulla, Parental Hera Syndulla, no my children what are you doing, TW: Violence, probs other dark shit, I dont fucking know - Freeform",English,2019-11-30,Updated,2019-11-30,1500,1/?,3,18,3,245
20001226,Gifts of the present,Teen And Up Audiences,M/M,Star Wars: Rebels,Ezra Bridger/Darth Maul,"Ezra Bridger, Darth Maul","Sensual horn touching, Translation",English,2019-07-27,Completed,2019-07-27,667,1/1,null,18,1,231
10636734,Our Time Is Running Out,General Audiences,F/M,"Star Wars: Rebels, Star Wars - All Media Types",Kanan Jarrus/Hera Syndulla,"Hera Syndulla, Kanan Jarrus","This is trash, Not the good kind, But the S.4 trailer has got me all kinds of fucked up, Stupid fucking space opera back at it again making me sad",English,2017-04-15,Completed,2017-04-15,191,1/1,null,18,1,405
15624246,Pleasure,Teen And Up Audiences,F/M,Star Wars: Rebels,Kanan Jarrus/Hera Syndulla,"Hera Syndulla, Kanan Jarrus","a new dawn era, not explicit i promise, some swears and slight sexism",English,2018-08-09,Completed,2018-08-09,1912,1/1,1,18,1,208
